,Year,Month,State,Location,Food,Species,Status,Illnesses,Hospitalizations,Fatalities,FISP
0,1998,January,California,Restaurant,Unknown,Unknown,Unknown,20,0.0,0.0,CA
1,1998,January,California,Unknown,Custard,Unknown,Unknown,112,0.0,0.0,CA
2,1998,January,California,Restaurant,Unknown,Unknown,Unknown,35,0.0,0.0,CA
3,1998,January,California,Restaurant,"Fish, Ahi",Scombroid toxin,Confirmed,4,0.0,0.0,CA
4,1998,January,California,Private Home/Residence,"Lasagna, Unspecified; Eggs, Other",Salmonella enterica,Confirmed,26,3.0,0.0,CA
5,1998,January,California,Restaurant,Unknown,Shigella boydii,Confirmed,25,3.0,0.0,CA
6,1998,January,California,Restaurant,Unknown,Unknown,Unknown,8,0.0,0.0,CA
7,1998,January,California,Restaurant,"Stuffing, Unspecified; Sandwich, Turkey",Salmonella enterica,Confirmed,4,3.0,0.0,CA
8,1998,January,Colorado,Restaurant,"Salad, Unspecified",Virus,Suspected,21,,,CO
9,1998,January,Colorado,Restaurant,"Peppers, Chili",Virus,Suspected,3,,0.0,CO
10,1998,January,Colorado,Grocery Store,Unknown,Virus,Suspected,8,,,CO
11,1998,January,Colorado,Restaurant,Unknown,Virus,Suspected,28,,0.0,CO
12,1998,January,Colorado,Private Home/Residence,Unknown,Virus,Suspected,10,,,CO
13,1998,January,Florida,Restaurant,Chicken Salad,Unknown,Unknown,2,,,FL
14,1998,January,Florida,Restaurant,"Hot Dog, Kielbasa",Unknown,Unknown,3,0.0,0.0,FL
15,1998,January,Florida,Restaurant,"Ethnic Style, Unspecified",Clostridium perfringens,Suspected,3,0.0,0.0,FL
16,1998,January,Florida,Restaurant,Greek Salad,Norovirus genogroup I,Suspected,2,,,FL
17,1998,January,Florida,Restaurant,"Ground Beef, Cheeseburger",Staphylococcus aureus,Suspected,2,0.0,0.0,FL
18,1998,January,Florida,Restaurant,"Pasta, Unspecified",Bacillus cereus,Suspected,2,0.0,0.0,FL
19,1998,January,Florida,Restaurant,"Sauces, Unspecified; Tuna, Unspecified",Scombroid toxin,Suspected,2,2.0,0.0,FL
20,1998,January,Florida,Restaurant,"Sandwich, Chicken",Campylobacter unknown,Confirmed,3,1.0,0.0,FL
21,1998,January,Florida,Restaurant,"Chicken, Unspecified",Unknown,Unknown,3,0.0,0.0,FL
22,1998,January,Florida,Restaurant,"Chicken, Fried",Bacillus cereus,Suspected,5,0.0,0.0,FL
23,1998,January,Florida,Restaurant,"Doughnuts, Unspecified",Unknown,Unknown,3,0.0,0.0,FL
24,1998,January,Florida,Restaurant,"Tomato Sauce, Unspecified",Unknown,Unknown,5,0.0,0.0,FL
25,1998,January,Florida,Restaurant,"Steak, Unspecified",Unknown,Unknown,2,0.0,0.0,FL
26,1998,January,Florida,Restaurant,Unknown Food,Unknown,Unknown,2,0.0,0.0,FL
27,1998,January,Florida,Restaurant,"Chicken, Nuggets/Fingers; French Fries; Soda, Unspecified",Unknown,Unknown,2,1.0,0.0,FL
28,1998,January,Florida,Private Home/Residence,"Turkey, Unspecified",Unknown,Unknown,18,5.0,0.0,FL
29,1998,January,Florida,Restaurant,"Steak, Unspecified",Unknown,Unknown,2,0.0,0.0,FL
30,1998,January,Florida,Grocery Store,"Pork, Unspecified",Unknown,Unknown,2,0.0,0.0,FL
31,1998,January,Florida,Restaurant,"Salmon, Raw; Tuna, Raw",Campylobacter unknown,Suspected,3,,,FL
32,1998,January,Guam,Private Home/Residence,"Other Milk, Unspecified",Unknown,Unknown,2,,,GU
33,1998,January,Guam,Restaurant,"Chicken, Unspecified",Vibrio parahaemolyticus,Confirmed,47,0.0,0.0,GU
34,1998,January,Hawaii,Private Home/Residence,"Fish, Grouper, Unspecified",Ciguatoxin,Confirmed,3,0.0,0.0,HI
35,1998,January,Hawaii,Private Home/Residence,"Fish, Mahi Mahi",Scombroid toxin,Confirmed,2,0.0,0.0,HI
36,1998,January,Hawaii,Restaurant,"Fish, Ahi",Scombroid toxin,Confirmed,2,0.0,0.0,HI
37,1998,January,Illinois,Restaurant,Unknown,Unknown,Unknown,4,0.0,0.0,IL
